Price,Open,High,Low,OBV,VPT,GOLD,FEX,OIL,PredClose
17.25,17.04,17.46,16.94,323790000,156253827.9,12220.75,42.54,465.3876,17.3
17.3,17.35,17.43,17.24,456890000,156639625,12218.22,42.525,438.0075,17.61
17.61,17.57,17.73,17.4,645190000,160013786.8,12226.56,42.5,453.475,18.1
18.1,17.76,18.12,17.74,826740000,165065433.6,12326.87,42.475,470.623,18.55
18.55,18.28,18.61,18.23,1004850000,169493582.8,12369.44,42.5,497.25,18.56
18.56,18.49,19.44,18.32,1282110000,169643049.1,12377.15,42.5,512.975,17.75
17.75,18.25,18.47,17.57,1100830000,161731583.6,12317.21,42.475,500.3555,17.79
17.79,18.12,18.23,17.66,1239640000,162044394.9,12129.48,42.48,463.032,17.86
17.86,17.57,18.03,17.06,1365550000,162539824.9,12139.77,42.49,471.639,17.76
17.76,18.12,18.54,17.57,1147060000,161316476.6,12152.87,42.45,465.6765,18.32
18.32,17.99,18.39,17.64,1307580000,166377918.1,12184,42.5,459.425,17.68
17.68,18.23,18.3,17.59,1123810000,159958005.4,12179.11,42.475,475.29525,18.17
18.17,17.88,18.3,17.61,1327880000,165613791.6,12231.53,42.49,473.3386,17.87
17.87,18.17,18.23,17.8,1200760000,163514947.3,12202.18,42.5,477.275,17.72
17.72,17.83,17.83,17.41,1068740000,162406777.2,12229.4,42.45,475.8645,18.18
18.18,18.01,18.55,17.99,1233440000,166682285.1,12058.65,42.47,468.4441,17.75
17.75,18.22,18.38,17.72,1133070000,164308297.2,12052.28,42.5,473.45,17.83
17.83,17.79,17.97,17.67,1216720000,164685311.3,12130.92,42.49,481.8366,17.68
17.68,17.75,18.17,17.68,1104860000,163744256.9,12193.62,42.5,459.425,17.52
17.52,17.75,17.77,17.35,993400000,162735569.1,12262.64,42.49,441.4711,18.01
18.01,17.88,18.11,17.68,1122540000,166347361.4,12182.89,42.45,457.611,18.07
18.07,18.3,18.45,17.99,1267760000,166831159.3,12197.72,42.47,442.5374,18.05
18.05,18.14,18.17,17.79,1179570000,166733550,12290.09,42.45,432.141,18.19
18.19,18.17,18.78,18.11,1358650000,168122536.1,12263.12,42.45,423.2265,18.25
18.25,18.09,18.25,17.86,1465550000,168475147.4,12180.99,42.45,414.7365,18.57
18.57,18.39,18.63,18.23,1563960000,170200692.6,12309.73,42.425,419.159,18.67
18.67,18.65,19.05,18.62,1745870000,171180283.4,12198.4,42.46,416.9572,18.83
18.83,18.72,19.02,18.64,1861820000,172173963.1,12274.78,42.5,423.725,18.58
18.58,18.58,18.73,18.48,1656380000,170592842.1,12124.53,42.46,423.7508,18.41
18.41,18.77,18.77,18.04,1543680000,169561679.5,12131.17,42.45,428.3205,18.22
18.22,18.47,18.76,18.16,1442520000,168517660,12125.1,42.46,421.6278,18.17
18.17,18.25,18.45,18.17,1380030000,168346172.6,12146.96,42.42,436.5018,17.75
17.75,18.1,18.17,17.71,1323280000,167034394.9,12180.86,42.375,433.92,17.98
17.98,17.68,17.98,17.55,1412750000,168193724.5,12168.97,42.4,448.592,17.94
17.94,18.07,18.14,17.77,1343600000,168039886.9,12233.17,42.55,452.732,17.68
17.68,17.79,17.93,17.68,1287310000,167224089.8,12189.87,42.55,461.242,17.08
17.08,17.57,17.57,16.99,1186960000,163818546.8,12249.85,42.68,451.5544,19.89
19.89,18.67,19.89,18.6,1620130000,198110049,12183.31,42.5,447.1,20.49
20.49,20.55,21.17,20.35,1876320000,205838254.1,12154.67,42.515,459.58715,20.97
20.97,20.71,21.08,20.63,2036200000,209583612.8,12230.84,42.5,476,21.33
21.33,21.21,21.72,21.12,2220000000,212738977.6,12241.5,42.515,468.5153,22.38
22.38,21.61,22.38,21.17,2472350000,225161270.2,12300.13,42.5,488.325,21.68
21.68,22.5,22.5,21.65,2268500000,218785264.8,12441.96,42.47,477.7875,22.02
22.02,21.33,22.39,21.33,2478070000,222071879.2,12383.98,42.395,485.8467,21.74
21.74,21.99,22.32,21.66,2389320000,220943359.7,12478.82,42.43,503.2198,22.04
22.04,21.83,22.17,21.77,2490640000,222341519.8,12412.97,42.45,522.135,22.33
22.33,22.19,22.67,21.88,2607960000,223885204,12287.99,42.435,516.43395,21.88
21.88,22.25,22.76,21.88,2503450000,221779091.1,12001.32,42.425,513.76675,22.2
22.2,22.36,23.27,22.1,2705170000,224729292.2,12076.97,42.43,549.4685,22.28
22.28,22.21,22.42,21.97,2768540000,224957652.6,12034.55,42.425,566.37375,22.03
22.03,22.36,22.46,21.75,2696780000,224152446.1,12030.3,42.4,557.56,21.65
21.65,21.88,21.88,21.4,2623900000,223238237.3,12051.47,42.345,566.15265,20.97
20.97,21.63,21.83,20.97,2530440000,220302773.1,12043.7,42.4,578.336,21.22
21.22,21.63,21.94,20.6,2637430000,221578285.8,12052.91,42.425,567.22225,20.2
20.2,21.02,21.26,20.11,2552680000,217504534.6,12016.86,42.4,572.4,20.35
20.35,20.17,20.59,19.98,2634480000,218111960.3,11863.51,42.4,592.328,21.55
21.55,20.33,21.55,19.71,2728110000,223633139.7,11864.12,42.425,615.1625,21.28
21.28,21.52,21.67,21.15,2654380000,222709376.3,11857.06,42.405,636.9231,20.89
20.89,21.38,21.42,20.89,2606840000,221838107.5,11903.72,42.425,619.405,21
21,19.49,21,19.36,2682200000,228569140.5,11880.81,42.65,619.7045,20.89
20.89,20.88,21.52,20.65,2556320000,227909769.1,11958.2,42.65,603.071,20.97
20.97,20.95,21.18,20.7,2603440000,228090219,11987.46,42.65,585.158,20.66
20.66,21.02,21.1,20.35,2528220000,226978240,11973.89,42.705,602.56755,20.53
20.53,20.53,20.77,20.24,2478320000,226664251.6,12089.1,42.67,607.1941,20.13
20.13,20.32,20.53,20.13,2431310000,225748323.7,12116.07,42.775,627.937,19.86
19.86,19.67,20,19.58,2389010000,225180961.6,12140.21,42.8,634.296,21.44
21.44,20.13,21.44,20.13,2446300000,229738776.3,12142.1,42.7,655.018,20.81
20.81,20.09,21.24,19.86,2378260000,223071216.9,12177.96,42.85,686.0285,20.84
